id,category,text
1,polysemy_word_sense,"I ate a red apple."
2,polysemy_word_sense,"She peeled an apple and sliced it."
3,polysemy_word_sense,"Apple released a new iPhone."
4,polysemy_word_sense,"The capital of France is"
5,polysemy_word_sense,"Tokyo is the capital of"
6,polysemy_word_sense,"He visited the capital city of France."
7,polysemy_word_sense,"Write your name in capital letters."
8,polysemy_word_sense,"The startup raised capital from investors."
9,contextual_role_semantics,"The dog chased the cat."
10,contextual_role_semantics,"The cat chased the dog."
11,contextual_role_semantics,"The dog chased the balloon."
12,contextual_role_semantics,"The balloon chased the dog."
13,contextual_role_semantics,"The dog chased the ballon."
14,anomaly_multilingual_code,"3+5+7 ="
15,anomaly_multilingual_code,"彼はフランスの首都を訪れた。"
16,anomaly_multilingual_code,"サッカーはスペインで最も有名なスポーツです。"
17,anomaly_multilingual_code,"雨が降ったら傘を持っていってね。"
18,anomaly_multilingual_code,"if (rain) { take_umbrella(); }"
19,anomaly_multilingual_code,"3+5=9"
20,anomaly_multilingual_code,"He regretted that she ate the sun."
21,anomaly_multilingual_code,"Apple sushi game regret that great mountain."
22,anomaly_multilingual_code,"ketjz gjeoaj ggg ekal."
23,semantic_category,"I like playing soccer."
24,semantic_category,"I like playing baseball."
25,semantic_category,"I like sushi."
26,semantic_category,"Soccer is the most major sports in Spain."
27,sentence_length_paraphrase,"Because the project was not ready, I postponed the meeting."
28,sentence_length_paraphrase,"I postponed the meeting."
29,pronoun_resolution,"The trophy fits in the suitcase because it is small."
30,pronoun_resolution,"The trophy fits in the suitcase because it is big."
31,pronoun_resolution,"The trophy fits in the suitcase because it is"
32,same_answer_math,"3+4+5 ="
33,same_answer_math,"10+5-3 ="
34,same_answer_math,"Σ(k=1 to 4) k ="
35,same_answer_math,"What is the number of months in a year?"
36,polysemy_word_sense,"Google released a new cell phone."
37,same_answer_noun,"The city known as the center of French fashion is"
38,same_answer_noun,"The Eiffel Tower is located in"
